지역명,nx,ny
서울특별시종로구,60,127
서울특별시중구,60,127
서울특별시용산구,60,126
서울특별시성동구,61,127
서울특별시광진구,62,126
서울특별시동대문구,61,127
서울특별시중랑구,62,128
서울특별시성북구,61,127
서울특별시강북구,61,128
서울특별시도봉구,61,129
서울특별시노원구,61,129
서울특별시은평구,59,127
서울특별시서대문구,59,127
서울특별시마포구,59,127
서울특별시양천구,58,126
서울특별시강서구,58,126
서울특별시구로구,58,125
서울특별시금천구,59,124
서울특별시영등포구,58,126
서울특별시동작구,59,125
서울특별시관악구,59,125
서울특별시서초구,61,125
서울특별시강남구,61,126
서울특별시송파구,62,126
서울특별시강동구,62,126
부산광역시중구,97,74
부산광역시서구,97,74
부산광역시동구,98,75
부산광역시영도구,98,74
부산광역시부산진구,97,75
부산광역시동래구,98,76
부산광역시남구,98,75
부산광역시북구,96,76
부산광역시해운대구,99,75
부산광역시사하구,96,74
부산광역시금정구,98,77
부산광역시강서구,96,76
부산광역시연제구,98,76
부산광역시수영구,99,75
부산광역시사상구,96,75
부산광역시기장군,100,77
대구광역시중구,89,90
대구광역시동구,90,91
대구광역시서구,88,90
대구광역시남구,89,90
대구광역시북구,89,91
대구광역시수성구,89,90
대구광역시달서구,88,90
대구광역시달성군,86,88
대구광역시군위군,88,99
인천광역시중구,54,125
인천광역시동구,54,125
인천광역시미추홀구,54,124
인천광역시연수구,55,123
인천광역시남동구,56,124
인천광역시부평구,55,125
인천광역시계양구,56,126
인천광역시서구,55,126
인천광역시강화군,51,130
인천광역시옹진군,54,124
광주광역시동구,60,74
광주광역시서구,59,74
광주광역시남구,59,73
광주광역시북구,59,75
광주광역시광산구,57,74
대전광역시동구,68,100
대전광역시중구,68,100
대전광역시서구,67,100
대전광역시유성구,67,101
대전광역시대덕구,68,100
울산광역시중구,102,84
울산광역시남구,102,84
울산광역시동구,104,83
울산광역시북구,103,85
울산광역시울주군,101,84
세종특별자치시세종특별자치시,66,103
경기도수원시장안구,60,121
경기도수원시권선구,60,120
경기도수원시팔달구,61,121
경기도수원시영통구,61,120
경기도성남시수정구,63,124
경기도성남시중원구,63,124
경기도성남시분당구,62,123
경기도의정부시,61,130
경기도안양시만안구,59,123
경기도안양시동안구,59,123
경기도부천시,56,125
경기도광명시,58,125
경기도평택시,62,114
경기도동두천시,61,134
경기도안산시상록구,58,121
경기도안산시단원구,57,121
경기도고양시덕양구,57,128
경기도고양시일산동구,56,129
경기도고양시일산서구,56,129
경기도과천시,60,124
경기도구리시,62,127
경기도남양주시,64,128
경기도오산시,62,118
경기도시흥시,57,123
경기도군포시,59,122
경기도의왕시,60,122
경기도하남시,64,126
경기도용인시처인구,64,119
경기도용인시기흥구,62,120
경기도용인시수지구,62,121
경기도파주시,56,131
경기도이천시,68,121
경기도안성시,65,115
경기도김포시,55,128
경기도화성시,57,119
경기도광주시,65,123
경기도양주시,61,131
경기도포천시,64,134
경기도여주시,71,121
경기도연천군,61,138
경기도가평군,69,133
경기도양평군,69,125
강원도춘천시,73,134
강원도원주시,76,122
강원도강릉시,92,131
강원도동해시,97,127
강원도태백시,95,119
강원도속초시,87,141
강원도삼척시,98,125
강원도홍천군,75,130
강원도횡성군,77,125
강원도영월군,86,119
강원도평창군,84,123
강원도정선군,89,123
강원도철원군,65,139
강원도화천군,72,139
강원도양구군,77,139
강원도인제군,80,138
강원도고성군,85,145
강원도양양군,88,138
충청북도청주시상당구,69,106
충청북도청주시서원구,69,107
충청북도청주시흥덕구,67,106
충청북도청주시청원구,69,107
충청북도충주시,76,114
충청북도제천시,81,118
충청북도보은군,73,103
충청북도옥천군,71,99
충청북도영동군,74,97
충청북도증평군,71,110
충청북도진천군,68,111
충청북도괴산군,74,111
충청북도음성군,72,113
충청북도단양군,84,115
충청남도천안시동남구,63,110
충청남도천안시서북구,63,112
충청남도공주시,63,102
충청남도보령시,54,100
충청남도아산시,60,110
충청남도서산시,51,110
충청남도논산시,62,97
충청남도계룡시,65,99
충청남도당진시,54,112
충청남도금산군,69,95
충청남도부여군,59,99
충청남도서천군,55,94
충청남도청양군,57,103
충청남도홍성군,55,106
충청남도예산군,58,107
충청남도태안군,48,109
전라북도전주시완산구,63,89
전라북도전주시덕진구,63,89
전라북도군산시,56,92
전라북도익산시,60,91
전라북도정읍시,58,83
전라북도남원시,68,80
전라북도김제시,59,88
전라북도완주군,63,89
전라북도진안군,68,88
전라북도무주군,72,93
전라북도장수군,70,85
전라북도임실군,66,84
전라북도순창군,63,79
전라북도고창군,56,80
전라북도부안군,56,87
전라남도목포시,50,67
전라남도여수시,73,66
전라남도순천시,70,70
전라남도나주시,56,71
전라남도광양시,73,70
전라남도담양군,61,78
전라남도곡성군,66,77
전라남도구례군,69,75
전라남도고흥군,66,62
전라남도보성군,62,66
전라남도화순군,61,72
전라남도장흥군,59,64
전라남도강진군,57,63
전라남도해남군,54,61
전라남도영암군,56,66
전라남도무안군,52,71
전라남도함평군,52,72
전라남도영광군,52,77
전라남도장성군,57,77
전라남도완도군,57,56
전라남도진도군,48,59
전라남도신안군,50,66
경상북도포항시남구,102,94
경상북도포항시북구,102,95
경상북도경주시,100,91
경상북도김천시,80,96
경상북도안동시,91,106
경상북도구미시,84,96
경상북도영주시,89,111
경상북도영천시,95,93
경상북도상주시,81,102
경상북도문경시,81,106
경상북도경산시,91,90
경상북도의성군,90,101
경상북도청송군,96,103
경상북도영양군,97,108
경상북도영덕군,102,103
경상북도청도군,91,86
경상북도고령군,83,87
경상북도성주군,83,91
경상북도칠곡군,85,93
경상북도예천군,86,107
경상북도봉화군,90,113
경상북도울진군,102,115
경상북도울릉군,127,127
경상남도창원시의창구,90,77
경상남도창원시성산구,91,76
경상남도창원시마산합포구,89,76
경상남도창원시마산회원구,89,76
경상남도창원시진해구,91,75
경상남도진주시,81,75
경상남도통영시,87,68
경상남도사천시,80,71
경상남도김해시,95,77
경상남도밀양시,92,83
경상남도거제시,90,69
경상남도양산시,97,79
경상남도의령군,83,78
경상남도함안군,86,77
경상남도창녕군,87,83
경상남도고성군,85,71
경상남도남해군,77,68
경상남도하동군,74,73
경상남도산청군,76,80
경상남도함양군,74,82
경상남도거창군,77,86
경상남도합천군,81,84
제주특별자치도제주시,53,38
제주특별자치도서귀포시,52,33
